"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C10H10","130.07825032","0.0","1.0","0.0","12.5","6.0"
"C4H8","56.062600255999996","0.0","2.0","0.0","5.0","1.0"
"C14H18","186.140850576","0.0","1.2857143","0.0","17.5","6.0"
"C15H21N","215.167399672","0.06666667","1.4","0.06666667","20.0","6.0"
"C19H25N","267.1986998","0.05263158","1.3157895","0.05263158","25.0","8.0"
"C32H39NO","453.303164868","0.0625","1.21875","0.03125","33.0","14.0"
"C8H11N","121.08914935199999","0.125","1.375","0.125","11.25","4.0"
"C6H11N","97.08914935199999","0.16666667","1.8333334","0.16666667","8.75","2.0"
"C6H9N","95.073499288","0.16666667","1.5","0.16666667","8.75","3.0"
"C5H5N","79.04219916","0.2","1.0","0.2","7.5","4.0"
"C5H7N","81.057849224","0.2","1.4","0.2","7.5","3.0"
"C4H5N","67.04219916","0.25","1.25","0.25","6.25","3.0"
"C3H5N","55.042199159999996","0.33333334","1.6666666","0.33333334","5.0","2.0"
"C8H13N","123.10479941599999","0.125","1.625","0.125","11.25","3.0"
"C16H23N","229.183049736","0.0625","1.4375","0.0625","21.25","6.0"
"C9H11F3N2O2S","268.049333252","0.8888889","1.2222222","0.6666667","7.5","4.0"
"C7H8N2","120.06874825599999","0.2857143","1.1428572","0.2857143","11.25","5.0"
"C9H10N2O","162.07931294","0.33333334","1.1111112","0.22222222","11.0","6.0"
"C8H7N","117.057849224","0.125","0.875","0.125","11.25","6.0"
"C7H5N","103.04219916","0.14285715","0.71428573","0.14285715","10.0","6.0"
"C8H10N2","134.08439832","0.25","1.25","0.25","12.5","5.0"
"C6H7N","93.057849224","0.16666667","1.1666666","0.16666667","8.75","4.0"
"C7H7NO","121.052763844","0.2857143","1.0","0.14285715","8.0","5.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C7H9N","107.073499288","0.14285715","1.2857143","0.14285715","10.0","4.0"
"C10H12N2O","176.094963004","0.3","1.2","0.2","12.0","6.0"
"C8H8N","118.065674256","0.125","1.0","0.125","11.25","5.5"
"C7H10N","108.08132432","0.14285715","1.4285715","0.14285715","10.0","3.5"
"C6H8N","94.065674256","0.16666667","1.3333334","0.16666667","8.75","3.5"
"C8H10NO","136.07623894","0.25","1.25","0.125","9.0","4.5"
"C8H11N2","135.092223352","0.25","1.375","0.25","12.5","4.5"
"C10H13N2O","177.102788036","0.3","1.3","0.2","12.0","5.5"
"C14H17NO","215.131014164","0.14285715","1.2142857","0.071428575","15.0","7.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C9H8","116.062600256","0.0","0.8888889","0.0","11.25","6.0"
"C8H8","104.062600256","0.0","1.0","0.0","10.0","5.0"
"C10H10O","146.07316494","0.1","1.0","0.0","10.0","6.0"
"C8H6","102.046950192","0.0","0.75","0.0","10.0","6.0"
"C10H10","130.07825032","0.0","1.0","0.0","12.5","6.0"
"C9H6","114.046950192","0.0","0.6666667","0.0","11.25","7.0"
"C7H6O","106.041864812","0.14285715","0.85714287","0.0","7.0","5.0"
"C11H10O2","174.06807956","0.18181819","0.90909094","0.0","5.5","7.0"
"C5H6","66.046950192","0.0","1.2","0.0","6.25","3.0"
"C11H12","144.093900384","0.0","1.0909091","0.0","13.75","6.0"
"C4H7N","69.057849224","0.25","1.75","0.25","6.25","2.0"
"C6H9N","95.073499288","0.16666667","1.5","0.16666667","8.75","3.0"
"C12H15N","173.12044948","0.083333336","1.25","0.083333336","16.25","6.0"
"C5H7N","81.057849224","0.2","1.4","0.2","7.5","3.0"
"C11H13N","159.104799416","0.09090909","1.1818181","0.09090909","15.0","6.0"
"C14H19NO2","233.141578848","0.21428572","1.3571428","0.071428575","7.5","6.0"
"C6H6","78.046950192","0.0","1.0","0.0","7.5","4.0"
"C12H12","156.093900384","0.0","1.0","0.0","15.0","7.0"
"C10H7","127.054775224","0.0","0.7","0.0","12.5","7.5"
"C9H7","115.054775224","0.0","0.7777778","0.0","11.25","6.5"
"C11H9","141.070425288","0.0","0.8181818","0.0","13.75","7.5"
"C10H6","126.046950192","0.0","0.6","0.0","12.5","8.0"
"C5H4","64.031300128","0.0","0.8","0.0","6.25","4.0"
"C11H10","142.07825032","0.0","0.90909094","0.0","13.75","7.0"
"C10H8","128.062600256","0.0","0.8","0.0","12.5","7.0"
"C13H14O2","202.099379688","0.15384616","1.0769231","0.0","6.5","7.0"
"C11H8","140.062600256","0.0","0.72727275","0.0","13.75","8.0"
"C12H13N","171.104799416","0.083333336","1.0833334","0.083333336","16.25","7.0"
"C3H7N","57.057849223999995","0.33333334","2.3333333","0.33333334","5.0","1.0"
"C4H6","54.046950192","0.0","1.5","0.0","5.0","2.0"
"C5H9N","83.073499288","0.2","1.8","0.2","7.5","2.0"
"C7H11N","109.08914935199999","0.14285715","1.5714285","0.14285715","10.0","3.0"
"C13H17N","187.136099544","0.07692308","1.3076923","0.07692308","17.5","6.0"
"C5H5","65.03912516","0.0","1.0","0.0","6.25","3.5"
"C7H7","91.054775224","0.0","1.0","0.0","8.75","4.5"
"C9H9","117.070425288","0.0","1.0","0.0","11.25","5.5"
"C10H11O2","163.075904592","0.2","1.1","0.0","5.0","5.5"
"C9H9O2","149.060254528","0.22222222","1.0","0.0","4.5","5.5"
"C14H19O2","219.138504848","0.14285715","1.3571428","0.0","7.0","5.5"
"C4HN3","91.017047032","0.75","0.25","0.75","8.75","6.0"
"C5HN3O","119.011961652","0.8","0.2","0.6","8.0","7.0"
"C5H2N4","118.02794606399999","0.8","0.4","0.8","11.25","7.0"
"C4N2O","92.00106262","0.75","0.0","0.5","6.0","6.0"
"C2H2N2","54.021798063999995","1.0","1.0","1.0","5.0","3.0"
"C3H2N2O","82.016712684","1.0","0.6666667","0.6666667","5.0","4.0"
"C3H3N3","81.03269709599999","1.0","1.0","1.0","7.5","4.0"
"C3N2","64.006148","0.6666667","0.0","0.6666667","6.25","5.0"
"C3H2N2","66.021798064","0.6666667","0.6666667","0.6666667","6.25","4.0"
"C4H3N3O","109.027611716","1.0","0.75","0.75","7.0","5.0"
"C4H3N3","93.03269709599999","0.75","0.75","0.75","8.75","5.0"
"C4N2","76.006148","0.5","0.0","0.5","7.5","6.0"
"C5H4","64.031300128","0.0","0.8","0.0","6.25","4.0"
"C6H5N","91.04219916","0.16666667","0.8333333","0.16666667","8.75","5.0"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C7H5NO","119.03711378","0.2857143","0.71428573","0.14285715","8.0","6.0"
"C9H9NO2","163.063328528","0.33333334","1.0","0.11111111","5.0","6.0"
"C4H9N","71.073499288","0.25","2.25","0.25","6.25","1.0"
"C6H13N","99.10479941599999","0.16666667","2.1666667","0.16666667","8.75","1.0"
"C4H9N","71.073499288","0.25","2.25","0.25","6.25","1.0"
"C6H3F","94.021878316","0.16666667","0.5","0.16666667","8.75","5.0"
"C7H3FO","122.016792936","0.2857143","0.42857143","0.14285715","8.0","6.0"
"C10H9FO","164.063743128","0.2","0.9","0.1","11.0","6.0"
"C7H5F","108.03752838","0.14285715","0.71428573","0.14285715","10.0","5.0"
"C10H7FO","162.048093064","0.2","0.7","0.1","11.0","7.0"
"C11H12FNO","193.090292224","0.27272728","1.0909091","0.18181819","13.0","6.0"
"C21H21BrFNO","401.07905461200005","0.1904762","1.0","0.14285715","24.0","11.0"
"C6H14ClNO2","167.071306368","0.6666667","2.3333333","0.33333334","4.0","0.0"
